customer_id,name,last_name,return_rate
9916,Tejas,Reddy,20.00
7974,Aime,Iyer,25.00
551,Claudia,Yadav,50.00
5501,Marlo,Reddy,14.29
5593,Leonie,Iyer,9.68
6821,Tallulah,Jain,20.00
5807,Joyce,Khan,14.29
984,Joey,Das,33.33
10514,Jacky,Yadav,50.00
7980,Loralee,Iyer,20.00
173,Louis,Choudhary,50.00
2188,Tammi,Iyer,50.00
6317,Daysha,Nair,66.67
7111,Brennan,Reddy,16.67
1223,Woodrow,Choudhary,10.00
5207,Leela,Bansal,33.33
2651,Bradly,Sharma,100.00
6466,Ernst,Singh,20.00
331,Dustin,Gupta,20.00
6731,Mckenzie,Agarwal,33.33
674,Maxwell,Yadav,40.00
4765,Amado,Jain,100.00
456,Landon,Singh,25.00
1243,Britney,Verma,100.00
7355,Ela,Khan,100.00
2101,Ari,Verma,40.00
8320,Hughie,Yadav,11.11
8485,Julie,Patel,20.00
8426,Harvie,Singh,14.29
1090,Ginger,Verma,25.00
1710,Mara,Bansal,20.00
7176,Candido,Mukherjee,9.09
2042,Gia,Reddy,50.00
6127,Larhonda,Kaur,25.00
2104,Ayanna,Verma,25.00
7521,Seana,Bansal,40.00
11840,Rayana,Tripathi,66.67
10577,Zacharie,Verma,40.00
6404,Dimple,Nair,100.00
10505,Jalene,Iyer,66.67
713,Bobbie,Tripathi,50.00
2058,Beckett,Ghosh,40.00
6785,Yaretzy,Yadav,14.29
2806,Georgiana,Sharma,9.09
2813,Bree,Jain,16.67
5020,Keyonna,Ghosh,33.33
9473,Akshara,Yadav,12.50
2931,Dashawn,Kaur,16.67
298,Jasmine,Iyer,14.29
2085,Rosanna,Mehta,25.00
4244,Alethea,Reddy,33.33
71,Benjamin,Singh,20.00
6667,Candelario,Singh,16.67
10866,Wanetta,Bansal,16.67
5403,Oriana,Bansal,14.29
2733,Shirley,Agarwal,28.57
2073,Minerva,Nair,20.00
8559,Joannie,Das,25.00
3336,Frida,Reddy,16.67
5335,Dyllan,Mehta,50.00
7325,Rosalio,Agarwal,20.00
1744,Robert,Mehta,25.00
812,Wade,Choudhary,100.00
3389,Joycelyn,Iyer,66.67
1024,Marisa,Khan,8.33
7328,Hilbert,Kaur,7.69
2421,Foster,Patel,50.00
11708,Silvano,Choudhary,50.00
3317,Giuseppe,Yadav,50.00
10042,Kemp,Khan,33.33
2552,Kennith,Jain,12.50
5803,Jennah,Ghosh,50.00
8055,Sinai,Yadav,40.00
5401,Imran,Gupta,38.46
3850,Zainab,Bansal,12.50
11308,Janson,Tripathi,20.00
4229,Abdiel,Kaur,100.00
1145,Sammy,Bansal,20.00
662,Angel,Mehta,100.00
9215,Michaelle,Sharma,33.33
4760,Kenji,Jain,75.00
1693,Robbie,Verma,100.00
4213,Shani,Reddy,30.00
489,Lindsay,Khan,5.00
11626,Lloyd,Patel,25.00
7627,Eman,Sharma,50.00
3586,Kristan,Nair,40.00
3687,Venita,Mukherjee,14.29
10836,Emalie,Mukherjee,13.33
9039,Linn,Das,50.00
9065,Deysi,Iyer,28.57
5645,Devonta,Sharma,66.67
196,Juan,Kaur,11.11
6436,Kenda,Mehta,25.00
10265,Marlan,Reddy,100.00
1900,Everly,Gupta,100.00
227,Johnny,Mukherjee,50.00
8545,Jalyssa,Bansal,14.29
4300,Paulo,Bansal,33.33
4878,Tahlia,Khan,33.33
960,Mikayla,Bansal,25.00
3575,Noor,Bansal,33.33
7341,Blade,Mehta,100.00
6817,Marilu,Agarwal,25.00
2974,Darrick,Choudhary,42.86
949,Emmett,Nair,14.29
8617,Amberlyn,Kaur,20.00
9044,Oneta,Reddy,20.00
5461,Ravi,Gupta,50.00
8106,Eligah,Bansal,25.00
5898,Bernetta,Sharma,37.50
1079,Meagan,Tripathi,33.33
193,Crystal,Mehta,50.00
228,Craig,Das,66.67
5981,Daryle,Khan,50.00
10060,Vernelle,Agarwal,10.00
4963,Clemente,Singh,28.57
218,Bonnie,Singh,33.33
11792,Rafeal,Patel,16.67
9501,Christinia,Khan,42.86
1367,Sterling,Mehta,60.00
7452,Andree,Kaur,7.14
9259,Naia,Bansal,12.50
447,Lloyd,Mukherjee,100.00
10705,Sierrah,Yadav,8.70
8649,Nissa,Yadav,66.67
9595,Cavin,Verma,25.00
7994,Hiroshi,Mehta,50.00
6396,Ninfa,Reddy,25.00
7199,Amerie,Gupta,25.00
11606,Gianfranco,Iyer,25.00
8268,Lonie,Jain,14.29
4415,Jarrell,Patel,50.00
7222,Saray,Tripathi,60.00
10365,Teresa,Jain,28.57
2784,Layton,Sharma,7.14
3944,Jennifer,Mehta,22.22
9799,Damya,Yadav,25.00
3512,Mika,Singh,100.00
416,Sydney,Mukherjee,12.12
7838,Cooper,Choudhary,33.33
11740,Eryk,Reddy,40.00
11943,Jizelle,Agarwal,33.33
5561,Jenniffer,Bansal,66.67
5479,Bernardine,Reddy,40.00
2456,Cordelia,Bansal,20.00
